Name,Type,Level,Race,Attribute,ATK,DEF,LCK,Release_date,Rare
Limit Reverse,Trap Card,,Continuous,,,,1.48,04/01/2018,True
The 13th Grave,Normal Monster,3,Zombie,DARK,1200,900,8.36,24/10/2002,False
Gem-Enhancement,Trap Card,,Normal,,,,2.88,31/01/2007,True
Magician's Circle,Trap Card,,Normal,,,,2.76,19/04/2008,False
Castle of Dark Illusions,Flip Effect Monster,4,Fiend,DARK,920,1930,7.4,05/04/2006,False
Cipher Spectrum,Trap Card,,Normal,,,,2.72,23/02/2014,False
Lava Golem,Effect Monster,8,Fiend,FIRE,3000,2500,9.65,13/07/2012,True
Dark Magic Expanded,Spell Card,,Quick-Play,,,,9.9,08/07/2008,False
Seismic Crasher,Effect Monster,3,Rock,EARTH,1400,300,4.78,15/01/2008,False
Laval Lancelord,Effect Monster,6,Warrior,FIRE,2100,200,3.49,06/10/2004,False
Skull Dice,Trap Card,,Normal,,,,4.54,03/08/2018,False
Performapal Springoose,Effect Monster,5,Winged Beast,WIND,1100,2400,2.87,10/11/2005,True
Miracle Flipper,Effect Monster,2,Spellcaster,LIGHT,300,500,9.22,07/10/2013,False
Key Mouse,Tuner Monster,1,Beast,EARTH,100,100,3.78,12/08/2001,True
Mischief of the Gnomes,Trap Card,,Normal,,,,4.53,19/08/2010,False
Vylon Hept,Effect Monster,4,Fairy,LIGHT,1800,800,1.35,30/01/2015,False
Koa'ki Meiru Prototype,Effect Monster,4,Rock,EARTH,1800,1800,4.68,02/01/2006,True
Koa'ki Meiru Token,Token,,Rock,,,,9.18,22/01/2009,True
Hero Flash!!,Spell Card,,Normal,,,,4.2,25/03/2005,True
E - Emergency Call,Spell Card,,Normal,,,,6.18,09/12/2008,False
Fenrir,Effect Monster,4,Beast,WATER,1400,1200,3.24,07/03/2005,True
Ballista of Rampart Smashing,Spell Card,,Equip,,,,9.34,18/05/2018,False
Rapid Warrior,Effect Monster,4,Warrior,WIND,1200,200,1.92,12/02/2020,True
Inzektor Gauntlet,Trap Card,,Normal,,,,3.16,27/05/2020,True
Mound of the Bound Creator,Spell Card,,Field,,,,5.78,23/10/2015,False
Mermail Abyssnose,Effect Monster,4,Fish,WATER,1500,1500,3.22,09/10/2017,False
Jet Warrior,Synchro Monster,5,Warrior,FIRE,2100,1200,8.46,06/09/2007,True
T.G. Warwolf,Effect Monster,3,Beast-Warrior,DARK,1200,0,6.81,23/04/2015,True
A Legendary Ocean,Spell Card,,Field,,,,5.63,15/08/2016,True
The Regulation of Tribe,Trap Card,,Continuous,,,,7.16,07/04/1999,False
Amplifier,Spell Card,,Equip,,,,0.89,10/08/2018,False
Spell Gear,Spell Card,,Normal,,,,2.71,07/06/2003,True
Gusto Squirro,Tuner Monster,2,Thunder,WIND,0,1800,3.83,25/03/2015,True
Performapal Elephammer,Effect Monster,6,Beast,EARTH,2600,1800,3.8,26/10/2008,False
Evilswarm Nightmare,XYZ Monster,4,Fiend,DARK,950,1950,7.33,04/10/2016,False
Dinomist Brachion,Pendulum Effect Monster,5,Machine,WATER,2000,800,8.31,18/07/2016,True
Gagaga Sister,Effect Monster,2,Spellcaster,DARK,200,800,0.33,28/11/1999,False
Wattgiraffe,Effect Monster,4,Thunder,LIGHT,1200,100,5.84,07/05/2002,True
The A. Forces,Spell Card,,Continuous,,,,2.96,29/07/2005,False
